车型,城市,上牌量,级别,指导价(万元),能源类型,cluster
捷途X70,黄石,16,SUV,10.69-14.99,燃油车,2
五菱缤果,黄山,16,小型车,5.68-8.88,燃油车,4
银河星舰7 EM-i,淮南,16,SUV,10.38-13.68,燃油车,2
极狐 阿尔法S5,淮南,16,中型车,12.78-18.48,燃油车,4
君威,淮北,16,中型车,15.98-17.58,燃油车,4
唐新能源,青岛,32,SUV,17.98-26.98,新能源,9
轩逸,淮北,16,紧凑型车,10.86-17.49,燃油车,10
宝马X5,淮安,16,SUV,61.50-83.00,燃油车,2
沃尔沃XC60,淮安,16,SUV,39.69-47.49,燃油车,2
别克GL8,淮安,16,MPV,23.29-47.39,燃油车,1
宏光MINIEV,普洱,32,微型车,3.28-9.99,新能源,9
宝来,红河,16,紧凑型车,11.29-14.39,燃油车,3
元UP,平顶山,32,SUV,9.68-11.98,新能源,9
凯美瑞,红河,16,中型车,17.18-25.98,燃油车,13
帕萨特,红河,16,中型车,16.45-23.99,燃油车,5
奇瑞iCAR V23,菏泽,16,SUV,9.98-14.98,燃油车,2
极狐 阿尔法S5,菏泽,16,中型车,12.78-18.48,燃油车,4
五菱佳辰,菏泽,16,MPV,6.88-11.58,燃油车,1
皓影,菏泽,16,SUV,18.59-26.39,燃油车,2
奔驰GLC,菏泽,16,SUV,42.78-53.13,燃油车,2
一汽-大众CC,菏泽,16,中型车,22.49-29.99,燃油车,4
卡罗拉,河源,16,紧凑型车,11.68-15.58,燃油车,3
星愿,和田,16,小型车,6.88-9.78,燃油车,4
红旗HS5,衡阳,16,SUV,18.38-24.98,燃油车,2
迈腾,衡阳,16,中型车,17.49-24.69,燃油车,6
驱逐舰05,衡水,16,紧凑型车,7.98-13.68,燃油车,3
天籁,衡水,16,中型车,17.98-23.98,燃油车,4
长安CS75 PLUS,鹤岗,16,SUV,11.39-14.99,燃油车,2
捷达VA3,鹤岗,16,紧凑型车,6.58-9.48,燃油车,3
锋兰达,河池,16,SUV,12.58-18.48,燃油车,2
五菱宏光V,河池,16,MPV,4.31-5.45,燃油车,1
银河E5,鹤壁,16,SUV,11.28-14.88,燃油车,2
博越L,汉中,16,SUV,9.99-14.97,燃油车,2
领克06,汉中,16,SUV,10.86-13.26,燃油车,2
奥迪A4L,汉中,16,中型车,28.98-40.08,燃油车,4
firefly萤火虫,邯郸,16,小型车,11.98-12.58,燃油车,4
银河E5,邯郸,16,SUV,11.28-14.88,燃油车,2
钛3,邯郸,16,SUV,13.38-19.38,燃油车,2
深蓝S05,聊城,32,SUV,11.99-14.99,新能源,9
极狐 阿尔法S5,邯郸,16,中型车,12.78-18.48,燃油车,4
五菱佳辰,邯郸,16,MPV,6.88-11.58,燃油车,1
长安启源A07,哈密,16,中大型车,11.99-17.69,燃油车,12
唐L,廊坊,32,SUV,22.98-28.98,新能源,9
坦克500新能源,廊坊,32,SUV,33.50-36.38,新能源,9
唐新能源,廊坊,32,SUV,17.98-26.98,新能源,9
哈弗H6,哈密,16,SUV,9.89-14.69,燃油车,2
福瑞迪,哈密,16,紧凑型车,7.88-10.28,燃油车,3
长安CS75 PLUS,固原,16,SUV,11.39-14.99,燃油车,2
亚洲龙,桂林,16,中型车,17.88-27.98,燃油车,4
迈腾,桂林,16,中型车,17.49-24.69,燃油车,6
RAV4荣放,贵港,16,SUV,16.98-26.38,燃油车,2
秦L,锦州,32,中型车,9.98-15.38,新能源,7
五菱宏光S,广元,16,MPV,0.00-0.00,燃油车,1
昂科威Plus,广元,16,SUV,22.99-25.99,燃油车,2
星愿,广安,16,小型车,6.88-9.78,燃油车,4
星越L,广安,16,SUV,13.72-17.97,燃油车,2
铂智3X,赣州,16,SUV,10.98-15.98,燃油车,2
五菱星光S,赣州,16,SUV,9.98-12.98,燃油车,2
领克06,赣州,16,SUV,10.86-13.26,燃油车,2
皓影,赣州,16,SUV,18.59-26.39,燃油车,2
秦PLUS,景德镇,32,紧凑型车,7.98-17.98,新能源,0
海豹05 DM-i,吉林,32,紧凑型车,7.98-10.38,新能源,0
途岳,赣州,16,SUV,12.59-21.66,燃油车,2
哈弗H6,赣州,16,SUV,9.89-14.69,燃油车,2
汉兰达,吉林,32,SUV,24.98-34.88,新能源,9
海鸥,揭阳,32,小型车,6.98-8.58,新能源,9
零跑C16,嘉兴,32,SUV,15.18-18.98,新能源,9
小鹏X9,嘉兴,32,MPV,35.98-41.98,新能源,1
小麒麟,抚州,16,微型车,4.99-5.19,燃油车,4
皓影,抚州,16,SUV,18.59-26.39,燃油车,2
深蓝S05,焦作,32,SUV,11.99-14.99,新能源,9
别克GL8新能源,焦作,32,MPV,24.99-41.99,新能源,1
海豚,江门,32,小型车,9.98-12.98,新能源,9
海豚,吉安,32,小型车,9.98-12.98,新能源,9
迈腾,抚州,16,中型车,17.49-24.69,燃油车,6
领克900,阜阳,16,SUV,30.99-41.69,燃油车,2
宋PLUS新能源,呼伦贝尔,32,SUV,13.58-18.08,新能源,9
威朗,阜阳,16,紧凑型车,12.89-15.89,燃油车,3
君威,阜阳,16,中型车,15.98-17.58,燃油车,4
零跑B10,惠州,32,SUV,9.98-14.98,新能源,9
哈弗枭龙MAX,抚顺,16,SUV,13.18-17.98,燃油车,2
熊猫,抚顺,16,微型车,2.99-5.39,燃油车,1
星越L,抚顺,16,SUV,13.72-17.97,燃油车,2
零跑B10,淮安,32,SUV,9.98-14.98,新能源,9
海豹06GT,淮安,32,中型车,13.68-18.68,新能源,7
长安CS75 PLUS,抚顺,16,SUV,11.39-14.99,燃油车,2
迈腾,抚顺,16,中型车,17.49-24.69,燃油车,6
问界M9,菏泽,32,SUV,46.98-56.98,新能源,9
瑞虎9,佛山,16,SUV,15.29-20.99,燃油车,2
蓝电E5,佛山,16,SUV,9.98-15.39,燃油车,2
领克06,佛山,16,SUV,10.86-13.26,燃油车,2
秦L,河池,32,中型车,9.98-15.38,新能源,7
卡罗拉锐放,恩施,16,SUV,12.98-18.48,燃油车,2
零跑T03,邯郸,32,微型车,4.99-6.99,新能源,9
缤越,恩施,16,SUV,6.68-10.38,燃油车,2
奔驰E级,恩施,16,中大型车,44.72-59.98,燃油车,12
捷途X70,鄂尔多斯,16,SUV,10.69-14.99,燃油车,2
五菱宏光S,鄂尔多斯,16,MPV,0.00-0.00,燃油车,1
MG5,鄂尔多斯,16,紧凑型车,6.79-9.99,燃油车,3
宝骏悦也Plus,东莞,16,SUV,7.68-10.58,燃油车,2
五菱星光,东莞,16,中型车,7.98-12.58,燃油车,4
阿维塔06,赣州,32,中型车,20.99-27.99,新能源,7
问界M5,赣州,32,SUV,22.98-27.98,新能源,9
凡尔赛C5 X,东莞,16,中型车,9.97-18.67,燃油车,4
海豹05 DM-i,阜新,32,紧凑型车,7.98-10.38,新能源,0
捷途X90,东莞,16,SUV,13.99-17.29,燃油车,2
瑞虎7,东莞,16,SUV,7.49-13.99,燃油车,2
享界S9,佛山,32,中大型车,30.98-44.98,新能源,11
凯迪拉克XT5,东莞,16,SUV,35.27-45.99,燃油车,2
五菱宏光S,东莞,16,MPV,0.00-0.00,燃油车,1
宏光MINIEV,防城港,32,微型车,3.28-9.99,新能源,9
五菱之光,东莞,16,MPV,3.51-3.79,燃油车,1
库斯途,德州,16,MPV,16.98-22.08,燃油车,1
锐界,德州,16,SUV,22.68-30.98,燃油车,2
零跑C10,东营,32,SUV,12.28-16.88,新能源,9
蓝电E5,德阳,16,SUV,9.98-15.39,燃油车,2
哈弗大狗,德阳,16,SUV,11.99-16.79,燃油车,2
缤越,德阳,16,SUV,6.68-10.38,燃油车,2
小米SU7 Ultra,东莞,32,中大型车,52.99-81.49,新能源,12
奥迪A3,德阳,16,紧凑型车,16.59-25.13,燃油车,3
长安启源Q07,达州,16,SUV,12.98-17.18,燃油车,2
星愿,达州,16,小型车,6.88-9.78,燃油车,4
极氪001,东莞,32,中大型车,25.90-32.90,新能源,12
瑞虎8 PRO,达州,16,SUV,11.99-16.69,燃油车,2
零跑C11,大同,32,SUV,14.88-20.98,新能源,9
红旗HS5,达州,16,SUV,18.38-24.98,燃油车,2
长安UNI-Z新能源,大庆,32,SUV,11.79-13.39,新能源,9
捷途X70,达州,16,SUV,10.69-14.99,燃油车,2
元UP,儋州,32,SUV,9.68-11.98,新能源,9
荣威D7,大同,16,中型车,12.38-21.98,燃油车,4
海豚,大连,32,小型车,9.98-12.98,新能源,9
银河星耀8,大庆,16,中大型车,12.58-16.58,燃油车,12
豹5,大庆,16,SUV,23.98-32.98,燃油车,2
驱逐舰05,大庆,16,紧凑型车,7.98-13.68,燃油车,3
瑞虎7,大庆,16,SUV,7.49-13.99,燃油车,2
标致408,大庆,16,紧凑型车,10.57-12.57,燃油车,3
传祺GS3,丹东,16,SUV,8.58-11.18,燃油车,2
帝豪,丹东,16,紧凑型车,6.29-14.98,燃油车,3
eπ008,大连,16,SUV,17.86-20.36,燃油车,2
豹8,大连,16,SUV,37.98-42.38,燃油车,2
航海家,大连,16,SUV,32.58-46.88,燃油车,2
腾势D9,常州,32,MPV,33.98-66.00,新能源,9
天籁,大连,16,中型车,17.98-23.98,燃油车,4
宋Pro新能源,长治,32,SUV,10.28-14.28,新能源,9
思域,大连,16,紧凑型车,12.99-18.79,燃油车,3
蒙迪欧,大连,16,中型车,14.98-22.98,燃油车,4
深蓝S05,亳州,32,SUV,11.99-14.99,新能源,9
瑞虎8 PRO,大理,16,SUV,11.99-16.69,燃油车,2
红旗E-QM5,大理,16,中型车,12.18-23.98,燃油车,4
五菱之光新能源,滨州,32,MPV,4.78-5.08,新能源,1
宝马X1,大理,16,SUV,28.89-34.99,燃油车,2
奔驰C级,大理,16,中型车,33.48-38.06,燃油车,4
奔驰E级,大理,16,中大型车,44.72-59.98,燃油车,12
海豚,蚌埠,32,小型车,9.98-12.98,新能源,9
奇瑞iCAR V23,滁州,16,SUV,9.98-14.98,燃油车,2
哈弗猛龙新能源,巴彦淖尔,32,SUV,16.58-19.28,新能源,9
缤越,滁州,16,SUV,6.68-10.38,燃油车,2
腾势D9,包头,32,MPV,33.98-66.00,新能源,1
锋兰达,楚雄,16,SUV,12.58-18.48,燃油车,2
唐新能源,包头,32,SUV,17.98-26.98,新能源,9
途岳,楚雄,16,SUV,12.59-21.66,燃油车,2
传祺GS3,楚雄,16,SUV,8.58-11.18,燃油车,2
奥迪Q5L,池州,16,SUV,34.98-48.88,燃油车,2
长安Lumin,赤峰,16,微型车,3.79-6.59,燃油车,4
皇冠陆放,赤峰,16,SUV,27.78-35.28,燃油车,2
T-ROC探歌,赤峰,16,SUV,15.89-17.87,燃油车,2
瑞虎3x,赤峰,16,SUV,4.99-8.49,燃油车,2
沃尔沃XC60,赤峰,16,SUV,39.69-47.49,燃油车,2
红旗HS5,郴州,16,SUV,18.38-24.98,燃油车,2
沃尔沃XC60,郴州,16,SUV,39.69-47.49,燃油车,2
AION Y,保定,32,SUV,9.98-14.58,新能源,9
奔驰E级,郴州,16,中大型车,44.72-59.98,燃油车,12
宝马3系,郴州,16,中型车,29.99-39.99,燃油车,4
长安启源A07,承德,16,中大型车,11.99-17.69,燃油车,12
哈弗H6,朝阳,16,SUV,9.89-14.69,燃油车,2
极狐 阿尔法S5,常州,16,中型车,12.78-18.48,燃油车,4
长安欧尚X5 PLUS,常州,16,SUV,9.19-11.49,燃油车,2
捷途旅行者,常州,16,SUV,13.99-23.99,燃油车,2
凌渡,常州,16,紧凑型车,14.39-19.09,燃油车,3
MG7,常州,16,中型车,11.98-17.89,燃油车,4
格瑞维亚,长治,16,MPV,29.98-41.68,燃油车,1
捷途旅行者,长治,16,SUV,13.99-23.99,燃油车,2
驱逐舰05,长治,16,紧凑型车,7.98-13.68,燃油车,3
库斯途,长治,16,MPV,16.98-22.08,燃油车,1
哈弗大狗,长治,16,SUV,11.99-16.79,燃油车,2
海狮05 DM-i,银川,32,SUV,10.28-14.28,新能源,9
奔驰E级,长治,16,中大型车,44.72-59.98,燃油车,12
豹5,昌吉,16,SUV,23.98-32.98,燃油车,2
岚图梦想家,银川,32,MPV,32.99-63.99,新能源,1
宋L DM-i,西宁,32,SUV,13.58-17.58,新能源,9
深蓝S05,西宁,32,SUV,11.99-14.99,新能源,9
锋兰达,昌吉,16,SUV,12.58-18.48,燃油车,2
北京BJ40,昌吉,16,SUV,13.98-26.99,燃油车,2
长安启源A07,常德,16,中大型车,11.99-17.69,燃油车,12
AION V,西安,32,SUV,12.98-19.36,新能源,9
捷途大圣,常德,16,SUV,9.39-13.68,燃油车,2
星瑞,常德,16,紧凑型车,9.97-14.57,燃油车,3
领克03,常德,16,紧凑型车,12.78-42.03,燃油车,3
深蓝S07,乌鲁木齐,32,SUV,14.99-20.79,新能源,9
帝豪,常德,16,紧凑型车,6.29-14.98,燃油车,3
阿维塔12,武汉,32,中大型车,26.99-70.00,新能源,11
零跑T03,武汉,32,微型车,4.99-6.99,新能源,9
哈弗H6,常德,16,SUV,9.89-14.69,燃油车,2
奥迪A6L,常德,16,中大型车,42.79-65.68,燃油车,12
豹5,沧州,16,SUV,23.98-32.98,燃油车,2
皇冠陆放,沧州,16,SUV,27.78-35.28,燃油车,2
T-ROC探歌,沧州,16,SUV,15.89-17.87,燃油车,2
五菱缤果PLUS,亳州,16,SUV,7.58-9.88,燃油车,2
乐道L60,亳州,16,SUV,20.69-25.59,燃油车,2
QQ冰淇淋,亳州,16,微型车,2.99-5.69,燃油车,4
深蓝S09,太原,32,SUV,23.99-30.99,新能源,9
知豆彩虹,滨州,16,微型车,3.19-6.09,燃油车,4
凯翼拾月,滨州,16,微型车,5.39-9.98,燃油车,4
锐界,滨州,16,SUV,22.68-30.98,燃油车,2
零跑B10,石家庄,32,SUV,9.98-14.98,新能源,9
海豹06GT,石家庄,32,中型车,13.68-18.68,新能源,7
汉兰达,石家庄,32,SUV,24.98-34.88,新能源,9
银河星舰7 EM-i,毕节,16,SUV,10.38-13.68,燃油车,2
风云T9,毕节,16,SUV,12.99-19.39,燃油车,2
AION Y,沈阳,32,SUV,9.98-14.58,新能源,9
长安启源A05,毕节,16,紧凑型车,7.89-13.69,燃油车,3
MG5,毕节,16,紧凑型车,6.79-9.99,燃油车,3
钛3,蚌埠,16,SUV,13.38-19.38,燃油车,2
北京BJ30,巴彦淖尔,16,SUV,9.99-13.69,燃油车,2
长安启源A05,包头,16,紧凑型车,7.89-13.69,燃油车,3
腾势N9,南宁,32,SUV,38.98-44.98,新能源,9
奔腾小马,包头,16,微型车,2.49-5.39,燃油车,4
极狐 阿尔法T5(ARCFOX αT5),包头,16,SUV,11.98-19.98,燃油车,2
银河E5,宝鸡,16,SUV,11.28-14.88,燃油车,2
别克GL8新能源,南昌,32,MPV,24.99-41.99,新能源,1
小鹏G6,南昌,32,SUV,17.68-27.69,新能源,9
银河L7,宝鸡,16,SUV,11.58-16.97,燃油车,2
五菱宏光V,宝鸡,16,MPV,4.31-5.45,燃油车,1
汉,兰州,32,中大型车,16.58-25.98,新能源,11
风云T9,保定,16,SUV,12.99-19.39,燃油车,2
红旗H6,保定,16,中型车,17.98-23.98,燃油车,4
长安之星5,保定,16,MPV,3.39-4.09,燃油车,1
长安CS35PLUS,保定,16,SUV,7.99-9.99,燃油车,2
小鹏G9,昆明,32,SUV,24.88-35.99,新能源,9
奇骏,保定,16,SUV,17.99-26.29,燃油车,2
瑞虎8 PRO,白银,16,SUV,11.99-16.69,燃油车,2
帝豪,白银,16,紧凑型车,6.29-14.98,燃油车,3
速腾,白银,16,紧凑型车,12.79-17.29,燃油车,3
皓影,白山,16,SUV,18.59-26.39,燃油车,2
逸动,白山,16,紧凑型车,7.29-9.69,燃油车,3
锋兰达,百色,16,SUV,12.58-18.48,燃油车,2
海豹07 DM-i,杭州,32,中型车,13.98-19.58,新能源,7
捷途X70S,百色,16,SUV,8.79-15.48,燃油车,2
传祺GS3,百色,16,SUV,8.58-11.18,燃油车,2
途观L,百色,16,SUV,18.68-26.68,燃油车,2
速腾,百色,16,紧凑型车,12.79-17.29,燃油车,3
零跑C16,哈尔滨,32,SUV,15.18-18.98,新能源,9
赛那SIENNA,白城,16,MPV,29.98-41.18,燃油车,1
哈弗大狗,白城,16,SUV,11.99-16.79,燃油车,2
银河E5,安阳,16,SUV,11.28-14.88,燃油车,2
小鹏G6,贵阳,32,SUV,17.68-27.69,新能源,9
汉兰达,贵阳,32,SUV,24.98-34.88,新能源,9
知豆彩虹,安阳,16,微型车,3.19-6.09,燃油车,4
博越,安阳,16,SUV,9.28-12.58,燃油车,2
探岳,安顺,16,SUV,19.89-25.99,燃油车,2
坦克500新能源,重庆,32,SUV,33.50-36.38,新能源,9
迈腾,安顺,16,中型车,17.49-24.69,燃油车,6
凯美瑞,鞍山,16,中型车,17.18-25.98,燃油车,4
捷途旅行者,安庆,16,SUV,13.99-23.99,燃油车,2
锋兰达,安庆,16,SUV,12.58-18.48,燃油车,2
帝豪新能源,重庆,32,紧凑型车,13.58-16.18,新能源,0
长安CS75 PLUS,安庆,16,SUV,11.39-14.99,燃油车,2
缤越,安庆,16,SUV,6.68-10.38,燃油车,2
途观L,安康,16,SUV,18.68-26.68,燃油车,2
北京越野BJ40增程,长沙,32,SUV,17.98-29.98,新能源,9
帕萨特,安康,16,中型车,16.45-23.99,燃油车,5
福瑞迪,阿勒泰,16,紧凑型车,7.88-10.28,燃油车,3
小鹏X9,长沙,32,MPV,35.98-41.98,新能源,1
银河E5,阿克苏,16,SUV,11.28-14.88,燃油车,2
风云T8,阿克苏,16,SUV,10.39-15.09,燃油车,2
哈弗二代大狗,阿克苏,16,SUV,13.58-15.68,燃油车,2
吉利ICON,阿克苏,16,SUV,9.69-12.99,燃油车,2
理想L8,成都,320,SUV,32.18-37.98,新能源,13
世纪,郑州,16,MPV,46.99-68.99,燃油车,1
小米SU7,徐州,322,中大型车,21.59-29.99,新能源,11
跨越星V5,郑州,16,MPV,5.38-6.48,燃油车,1
科鲁泽,郑州,16,紧凑型车,9.49-10.89,燃油车,3
秦L,沈阳,322,中型车,9.98-15.38,新能源,7
捷途X90,郑州,16,SUV,13.99-17.29,燃油车,2
宝马X2(进口),郑州,16,SUV,31.69-34.99,燃油车,2
瑞虎5x,郑州,16,SUV,5.99-9.99,燃油车,2
宏光MINIEV,滨州,323,微型车,3.28-9.99,新能源,0
问界M9,武汉,323,SUV,46.98-56.98,新能源,9
小鹏MONA M03,南京,324,紧凑型车,11.98-15.58,新能源,0
理想L7,南京,324,SUV,30.18-35.98,新能源,9
新海狮X30L,郑州,16,MPV,4.79-5.99,燃油车,1
宋PLUS新能源,长沙,324,SUV,13.58-18.08,新能源,9
宏光MINIEV,运城,325,微型车,3.28-9.99,新能源,0
MINI,郑州,16,小型车,23.38-31.98,燃油车,4
海鸥,太原,325,小型车,6.98-8.58,新能源,0
奔驰S级,郑州,16,大型车,96.26-204.26,燃油车,4
长安启源A07,银川,16,中大型车,11.99-17.69,燃油车,12
小鹏MONA M03,宁波,326,紧凑型车,11.98-15.58,新能源,0
魏牌 高山,银川,16,MPV,30.98-40.58,燃油车,1
五菱缤果,银川,16,小型车,5.68-8.88,燃油车,4
Model 3,无锡,328,中型车,23.19-33.95,新能源,7
秦L,苏州,328,中型车,9.98-15.38,新能源,7
AION S,武汉,328,紧凑型车,13.98-17.98,新能源,0
小米SU7,天津,328,中大型车,21.59-29.99,新能源,11
赛那SIENNA,银川,16,MPV,29.98-41.18,燃油车,1
海鸥,新乡,329,小型车,6.98-8.58,新能源,0
零跑C11,台州,329,SUV,14.88-20.98,新能源,9
银河E5,西宁,16,SUV,11.28-14.88,燃油车,2
宋PLUS新能源,太原,329,SUV,13.58-18.08,新能源,9
钛3,西宁,16,SUV,13.38-19.38,燃油车,2
银河L7,西宁,16,SUV,11.58-16.97,燃油车,2
理想L6,哈尔滨,329,SUV,24.98-27.98,新能源,9
锐际,西宁,16,SUV,16.98-22.18,燃油车,2
传祺M8,西宁,16,MPV,17.98-34.28,燃油车,1
博越,西宁,16,SUV,9.28-12.58,燃油车,2
问界M9,遵义,33,SUV,46.98-56.98,新能源,9
哈弗H9,西宁,16,SUV,19.99-24.79,燃油车,2
奔驰C级,西宁,16,中型车,33.48-38.06,燃油车,4
奔驰E级,西宁,16,中大型车,44.72-59.98,燃油车,12
本田CR-V,西宁,16,SUV,18.59-26.39,燃油车,2
海豹06新能源,株洲,33,中型车,9.98-13.98,新能源,7
元UP,株洲,33,SUV,9.68-11.98,新能源,9
蒙迪欧,西宁,16,中型车,14.98-22.98,燃油车,4
传祺E9,西安,16,MPV,31.98-40.98,燃油车,1
红旗E-QM5,西安,16,中型车,12.18-23.98,燃油车,4
汉,周口,33,中大型车,16.58-25.98,新能源,11
汉L,中山,33,中大型车,20.98-27.98,新能源,11
奥德赛,西安,16,MPV,23.58-43.98,燃油车,1
昂科威S,乌鲁木齐,16,SUV,19.69-22.29,燃油车,2
零跑C10,湛江,33,SUV,12.28-16.88,新能源,9
宋PLUS新能源,漳州,33,SUV,13.58-18.08,新能源,9
北京BJ60,乌鲁木齐,16,SUV,23.98-28.58,燃油车,2
马自达EZ-6,武汉,16,中型车,13.98-18.18,燃油车,4
昊铂HT,武汉,16,SUV,21.39-32.99,燃油车,2
长安启源Q05,武汉,16,SUV,9.69-12.79,燃油车,2
腾势D9,运城,33,MPV,33.98-66.00,新能源,1
宝马i5,武汉,16,中大型车,43.99-53.99,燃油车,12
海豹06新能源,永州,33,中型车,9.98-13.98,新能源,7
极狐考拉,武汉,16,MPV,11.98-16.98,燃油车,1
理想L7,榆林,33,SUV,30.18-35.98,新能源,9
海豚,榆林,33,小型车,9.98-12.98,新能源,9
探岳X,武汉,16,SUV,23.29-26.29,燃油车,2
捷达VS5,武汉,16,SUV,8.79-12.19,燃油车,2
本田UR-V,武汉,16,SUV,24.68-32.98,燃油车,2
元UP,宜春,33,SUV,9.68-11.98,新能源,9
雷凌,武汉,16,紧凑型车,11.38-14.88,燃油车,3
海豹06GT,宜昌,33,中型车,13.68-18.68,新能源,7
海豹06新能源,宜昌,33,中型车,9.98-13.98,新能源,7
Macan,武汉,16,SUV,57.80-85.80,燃油车,2
路虎卫士,武汉,16,SUV,68.80-171.60,燃油车,2
五菱之光新能源,烟台,33,MPV,4.78-5.08,新能源,11
零跑C10,烟台,33,SUV,12.28-16.88,新能源,9
昂科威S,天津,16,SUV,19.69-22.29,燃油车,2
smart精灵#3,天津,16,SUV,16.49-28.99,燃油车,2
奕炫,天津,16,紧凑型车,6.49-10.68,燃油车,3
锐际,天津,16,SUV,16.98-22.18,燃油车,2
宋Pro新能源,阳泉,33,SUV,10.28-14.28,新能源,9
宝马X2(进口),天津,16,SUV,31.69-34.99,燃油车,2
悦意03,太原,16,SUV,7.98-12.29,燃油车,2
吉利ICON,太原,16,SUV,9.69-12.99,燃油车,2
宋PLUS新能源,延安,33,SUV,13.58-18.08,新能源,9
小鹏P7+,徐州,33,中大型车,18.68-20.88,新能源,11
博越,太原,16,SUV,9.28-12.58,燃油车,2
零跑C10,许昌,33,SUV,12.28-16.88,新能源,9
飞度,太原,16,小型车,8.18-10.88,燃油车,4
江豚E5,石家庄,16,MPV,5.69-13.58,燃油车,1
昊铂HT,石家庄,16,SUV,21.39-32.99,燃油车,2
纳米01,石家庄,16,小型车,6.58-13.98,燃油车,4
腾势D9,新乡,33,MPV,33.98-66.00,新能源,1
小麒麟,石家庄,16,微型车,4.99-5.19,燃油车,4
英仕派,石家庄,16,中型车,18.28-22.98,燃油车,4
深蓝S05,邢台,33,SUV,11.99-14.99,新能源,9
荣威D6,沈阳,16,紧凑型车,9.98-13.98,燃油车,3
皓瀚,沈阳,16,SUV,8.99-13.69,燃油车,2
212 T01,沈阳,16,SUV,13.99-18.88,燃油车,2
驱逐舰05,沈阳,16,紧凑型车,7.98-13.68,燃油车,3
吉利几何A,沈阳,16,紧凑型车,14.38-20.78,燃油车,3
深蓝S05,襄阳,33,SUV,11.99-14.99,新能源,9
宋PLUS新能源,湘潭,33,SUV,13.58-18.08,新能源,9
小鹏G9,厦门,33,SUV,24.88-35.99,新能源,9
秦L,梧州,33,中型车,9.98-15.38,新能源,7
小海狮X30,沈阳,16,MPV,3.49-5.19,燃油车,1
AION V,无锡,33,SUV,12.98-19.36,新能源,9
蓝电E5,上海,16,SUV,9.98-15.39,燃油车,2
红旗E-QM5,上海,16,中型车,12.18-23.98,燃油车,6
沃尔沃XC40,上海,16,SUV,26.98-35.48,燃油车,2
宝马X6,上海,16,SUV,79.99-97.59,燃油车,2
纳米01,南宁,16,小型车,6.58-13.98,燃油车,4
领克08 EM-P,南宁,16,SUV,18.58-24.88,燃油车,2
北京BJ30,南宁,16,SUV,9.99-13.69,燃油车,2
博越,南宁,16,SUV,9.28-12.58,燃油车,2
长安启源A05,南京,16,紧凑型车,7.89-13.69,燃油车,3
奔腾小马,南京,16,微型车,2.49-5.39,燃油车,4
曹操60,南京,16,紧凑型车,11.98-16.98,燃油车,3
狮铂拓界,南京,16,SUV,17.98-23.78,燃油车,2
欧萌达,南京,16,SUV,10.99-12.99,燃油车,2
红旗H9,南京,16,中大型车,30.98-86.00,燃油车,12
汉兰达,通辽,33,SUV,24.98-34.88,新能源,9
锐际,南京,16,SUV,16.98-22.18,燃油车,2
海豹06新能源,铁岭,33,中型车,9.98-13.98,新能源,7
奔驰V级,南京,16,MPV,47.88-66.98,燃油车,1
奔驰CLA,南京,16,紧凑型车,30.92-39.58,燃油车,3
海豹06新能源,宿州,33,中型车,9.98-13.98,新能源,7
天籁,南京,16,中型车,17.98-23.98,燃油车,4
长安Lumin,南昌,16,微型车,3.79-6.59,燃油车,4
格瑞维亚,南昌,16,MPV,29.98-41.68,燃油车,1
欧萌达,南昌,16,SUV,10.99-12.99,燃油车,2
领睿,南昌,16,SUV,9.88-16.55,燃油车,2
大众ID.3,南昌,16,紧凑型车,12.99-15.59,燃油车,3
发现运动版,南昌,16,SUV,38.83-41.98,燃油车,2
深蓝S05,宿迁,33,SUV,11.99-14.99,新能源,9
汉,宿迁,33,中大型车,16.58-25.98,新能源,11
瑞虎5x,南昌,16,SUV,5.99-9.99,燃油车,2
宋Pro新能源,绥化,33,SUV,10.28-14.28,新能源,9
秦L,松原,33,中型车,9.98-15.38,新能源,7
索纳塔,南昌,16,中型车,13.98-20.58,燃油车,4
凌渡,南昌,16,紧凑型车,14.39-19.09,燃油车,3
宝马4系,南昌,16,中型车,37.99-57.69,燃油车,4
Panamera,南昌,16,大型车,99.80-247.60,燃油车,4
汉L,绍兴,33,中大型车,20.98-27.98,新能源,11
欧萌达,拉萨,16,SUV,10.99-12.99,燃油车,2
探岳,拉萨,16,SUV,19.89-25.99,燃油车,2
哈弗H9,拉萨,16,SUV,19.99-24.79,燃油车,2
海狮05 EV,汕头,33,SUV,11.78-13.78,新能源,9
铂智3X,兰州,16,SUV,10.98-15.98,燃油车,2
探险者,兰州,16,SUV,30.98-39.98,燃油车,2
长安欧尚X7,兰州,16,SUV,7.77-12.99,燃油车,2
大家9,昆明,16,MPV,25.99-44.99,燃油车,1
宋L DM-i,齐齐哈尔,33,SUV,13.58-17.58,新能源,9
宏光MINIEV,齐齐哈尔,33,微型车,3.28-9.99,新能源,9
阿维塔07,青岛,33,SUV,21.99-28.99,新能源,9
航海家,昆明,16,SUV,32.58-46.88,燃油车,2
沃尔沃S90,昆明,16,中大型车,40.69-50.59,燃油车,12
奥迪Q2L,昆明,16,SUV,17.18-26.10,燃油车,2
Panamera,昆明,16,大型车,99.80-247.60,燃油车,4
奥迪A5,昆明,16,中型车,37.98-49.88,燃油车,4
海鸥,莆田,33,小型车,6.98-8.58,新能源,9
传祺向往S7,济南,16,SUV,17.58-22.98,燃油车,2
宏光MINIEV,攀枝花,33,微型车,3.28-9.99,新能源,9
